text,intent
UNAUTHORIZED TRANSACTION DETECTED!!!,fraud_report
I SEE A SUSPICIOUS TRANSACTION!!!,fraud_report
WHAT PAYMENT METHODS DO YOU ACCEPT?!!!,payment_methods
Can I apply for a loan?,loan_inquiry
I see a suspicious transaction,fraud_report
I want a refund,refund_request
"Please, I'm not sure but what is my balance?",balance_inquiry
"Please, I'm not sure but i want a refund",refund_request
I didn't receive OTP,otp_issue
URGENT: Can I apply for a loan?,loan_inquiry
WHY IS MY ACCOUNT BLOCKED?!!!,account_blocked
MONEY DIDN'T GO THROUGH!!!,transaction_failed
"Please, I'm not sure but how do i get a loan?",loan_inquiry
DO YOU ACCEPT DEBIT CARDS?!!!,payment_methods
Money didn't go through,transaction_failed
URGENT: Help me reset my password,password_reset
URGENT: My account got locked,account_blocked
"Please, I'm not sure but i want a refund",refund_request
I DIDN'T RECEIVE OTP!!!,otp_issue
URGENT: Help me reset my password,password_reset
URGENT: What is my balance?,balance_inquiry
"Please, I'm not sure but transfer not successful",transaction_failed
CAN I PAY WITH MOBILE MONEY?!!!,payment_methods
Change my phone number,account_update
UPDATE EMAIL ADDRESS!!!,account_update
Money didn't go through,transaction_failed
URGENT: Help me reset my password,password_reset
URGENT: How do I get my money back?,refund_request
I DIDN'T RECEIVE OTP!!!,otp_issue
"Please, I'm not sure but what payment methods do you accept?",payment_methods
I didn't receive OTP,otp_issue
"Please, I'm not sure but update email address",account_update
"Please, I'm not sure but someone used my account",fraud_report
URGENT: Verification code not received,otp_issue
How much money do I have?,balance_inquiry
UNAUTHORIZED TRANSACTION DETECTED!!!,fraud_report
"Please, I'm not sure but transfer not successful",transaction_failed
"Please, I'm not sure but change my phone number",account_update
URGENT: Can I apply for a loan?,loan_inquiry
I didn't receive OTP,otp_issue
URGENT: Update email address,account_update
I want a refund,refund_request
Transfer not successful,transaction_failed
WHAT PAYMENT METHODS DO YOU ACCEPT?!!!,payment_methods
URGENT: Verification code not received,otp_issue
URGENT: How do I update my details?,account_update
I forgot my password,password_reset
Help me reset my password,password_reset
WHY IS MY ACCOUNT BLOCKED?!!!,account_blocked
Check my account balance,balance_inquiry
Requesting refund for a transaction,refund_request
Why is my account blocked?,account_blocked
URGENT: I can't access my account,account_blocked
Check my account balance,balance_inquiry
URGENT: Requesting refund for a transaction,refund_request
I CAN'T ACCESS MY ACCOUNT!!!,account_blocked
"Please, I'm not sure but why is my account blocked?",account_blocked
REQUESTING REFUND FOR A TRANSACTION!!!,refund_request
URGENT: Help me reset my password,password_reset
I want a refund,refund_request
I FORGOT MY PASSWORD!!!,password_reset
URGENT: I didn't receive OTP,otp_issue
I didn't receive OTP,otp_issue
MY TRANSACTION FAILED!!!,transaction_failed
VERIFICATION CODE NOT RECEIVED!!!,otp_issue
URGENT: What is my balance?,balance_inquiry
LOAN OPTIONS AVAILABLE?!!!,loan_inquiry
Loan options available?,loan_inquiry
WHY IS MY ACCOUNT BLOCKED?!!!,account_blocked
